FNV	A32	DJB	JENKINS	AZDAROTH
94	92	114	106	88
100	100	95	100	90
104	101	112	98	93
110	101	88	102	105
97	107	98	109	106
100	110	103	107	95
101	118	107	106	100
93	96	116	111	95
86	105	98	100	97
112	115	112	114	113
108	104	83	103	99
87	111	99	102	99
93	92	94	95	121
101	116	87	93	120
113	109	81	103	94
95	108	103	86	100
80	97	101	122	92
91	97	100	104	111
90	89	100	100	92
107	100	84	84	104
115	103	100	89	105
99	83	87	90	109
96	93	96	114	103
99	97	103	91	113
90	103	97	113	78
93	101	110	90	95
122	91	79	120	106
95	99	95	100	101
102	116	94	99	96
93	99	101	104	89
99	89	96	87	99
91	91	96	110	95
100	121	92	96	111
97	87	93	97	116
108	113	124	108	100
102	107	83	88	88
112	103	107	101	106
102	83	115	92	96
100	93	120	101	98
110	104	92	83	106
94	99	102	106	92
88	81	102	115	105
92	105	99	122	87
92	109	75	89	84
115	99	104	110	103
108	99	110	109	115
86	118	108	100	101
92	90	101	86	84
92	97	99	96	94
93	84	84	112	110
98	101	95	107	104
95	90	110	96	117
112	95	89	113	112
88	106	92	106	89
103	105	108	109	89
92	93	97	90	109
105	82	106	91	85
94	98	100	97	96
123	114	96	103	102
110	109	110	90	116
101	91	89	109	94
106	92	103	103	87
108	112	97	104	109
110	95	108	88	100
109	116	120	114	96
84	86	102	107	108
94	84	114	96	103
98	86	108	85	107
109	96	100	85	85
93	97	101	97	96
77	80	120	110	100
98	101	98	97	105
123	105	94	81	91
97	97	89	108	107
105	90	94	94	85
109	86	95	124	94
107	94	87	114	84
104	105	91	94	106
117	114	116	106	115
104	94	77	104	116
106	100	98	87	114
97	104	97	86	88
104	105	120	85	100
110	100	105	108	102
106	104	100	92	103
98	98	102	108	97
99	102	111	93	110
96	98	95	112	107
92	97	114	97	83
87	109	93	81	101
111	113	87	89	98
108	121	107	107	103
93	105	105	91	95
98	107	91	84	107
116	107	101	99	92
93	93	113	115	98
85	89	106	95	103
105	103	97	90	83
87	121	107	107	105
97	85	106	89	105

